0315;0220
Bounds;294.624621;28.319979;294.962372;28.777930
Aperture;14;1;3
Background photometric window
DATE_OBS     ;NAME                     ;FILTER;CATRA     ;CATDEC    ;IMGRA     ;IMGDEC    ;IMGX    ;IMGY    ;R2mag ;BKGROUND;BGSTDDEV;BGRJCT;PSF_A    ;PSF_SIGMAX;PSF_SIGMAY;PSF_THETA;PSF_MAD     ;FLUX14   ;SNR14   ;FLAG
2457266.64763;3UCAC238-197153          ;V     ;294.740606; 28.512930;294.739829; 28.513487; 652.952; 363.427; 8.956;559.2858;26.00155;0.5411;0.0110663;1.48991733;0.49656815;86.574796;1.05807E-002;355.24770; 1.09931;0008
2457266.64763;3UCAC237-203123          ;V     ;294.692716; 28.423835;294.694205; 28.427456; 380.478; 239.841; 9.113;562.4356;26.00155;0.5411;0.0004582;10.9671869;5.56145051;76.019456;2.67922E-001;3361.2595;10.25481;0000
2457266.64763;3UCAC238-196440          ;V     ;294.648059; 28.763246;294.648002; 28.765364;1444.262; 101.349; 9.260;550.6655;26.00155;0.5411;0.0005863;4.72983783;2.15466289;18.862406;2.17958E-001;1145.4790; 3.53133;0008
2457266.64763;3UCAC237-204214          ;V     ;294.845671; 28.437192;294.843754; 28.438877; 420.955; 653.915; 9.305;562.0882;26.00155;0.5411;0.0002355;8.55614355;2.78200071;98.487509;5.06355E-001;144.35366; 0.44715;0008
2457266.64763;3UCAC238-196868          ;V     ;294.703222; 28.545296;294.703295; 28.546617; 756.320; 261.182; 9.408;558.5169;26.00155;0.5411;0.0002861;7.10947020;1.23928627;71.082932;3.94757E-001; 0.000000; 0.00000;0008
2457266.64763;3UCAC237-204830          ;V     ;294.934710; 28.428847;294.935975; 28.431217; 399.833; 909.775; 9.933;560.9719;26.00155;0.5411;0.0002242;6.97284411;2.05430899;20.432133;4.48496E-001;351.20536; 1.08682;0008
2457266.64763;3UCAC238-198265          ;V     ;294.900803; 28.579735;294.903731; 28.579755; 866.926; 814.827;10.363;558.4011;26.00155;0.5411;0.0010312;3.58178255;2.96288576;69.481996;1.18406E-001;702.22894; 2.16943;0008
2457266.64763;3UCAC237-204353          ;V     ;294.863749; 28.374351;294.860931; 28.375887; 222.967; 703.814;10.530;567.2108;26.00155;0.5411;0.0225857;2.82226992;0.15283382;102.68216;4.95536E-003;759.32632; 2.34519;0008
2457266.64763;3UCAC238-198038          ;V     ;294.867410; 28.750995;294.864353; 28.749079;1399.331; 699.655;10.531;556.1623;26.00155;0.5411;0.0015942;4.39078653;2.57076977;88.281951;7.43988E-002;2293.5069; 7.03225;0008
2457266.64763;3UCAC238-198651          ;V     ;294.953309; 28.558372;294.953174; 28.558245; 800.791; 952.501;10.622;558.3804;26.00155;0.5411;0.0046539;0.71198130;0.41579588; 0.579852;2.82341E-002;556.62762; 1.72081;0008
2457266.64763;3UCAC238-198398          ;V     ;294.918285; 28.532412;294.919099; 28.532725; 719.203; 859.146;10.845;558.9100;26.00155;0.5411;0.0001127;5.31861072;4.96238149; 0.028542;1.07961E+000; 0.000000; 0.00000;000a
2457266.64763;3UCAC237-204935          ;V     ;294.951677; 28.470090;294.950381; 28.470135; 522.986; 948.190;10.935;559.5729;26.00155;0.5411;0.0009984;8.93804139;0.71397563;90.686250;1.18610E-001; 0.000000; 0.00000;0008
2457266.64763;3UCAC237-203913          ;V     ;294.800194; 28.359360;294.802687; 28.358074; 164.993; 542.933;10.962;570.5455;26.00155;0.5411;0.0014116;3.92655031;3.29180215;106.63495;9.36482E-002;3199.1187; 9.76751;0008
2457266.64763;3UCAC238-197556          ;V     ;294.797674; 28.717584;294.799844; 28.717446;1297.605; 522.513;11.023;557.9636;26.00155;0.5411;0.2397973;2.07828256;0.27423596;159.80652;5.64490E-004;40520.761;106.5615;0000
2457266.64763;3UCAC238-198093          ;V     ;294.875814; 28.762104;294.874881; 28.762851;1443.079; 728.238;11.026;554.8073;26.00155;0.5411;0.0005419;7.58650476;0.98184696;90.004037;2.15248E-001; 0.000000; 0.00000;0008
2457266.64763;3UCAC237-204179          ;V     ;294.839138; 28.344614;294.839210; 28.344399; 123.028; 644.716;11.050;573.1035;26.00155;0.5411;0.0152818;1.28131054;0.47510422;96.076005;7.26612E-003; 0.000000; 0.00000;0008
2457266.64763;3UCAC238-197999          ;V     ;294.861958; 28.634649;294.861124; 28.635570;1041.461; 694.875;11.153;558.1485;26.00155;0.5411;0.0015194;3.88781780;2.47640130;77.058873;9.14612E-002;2221.6718; 6.81430;000a
2457266.64763;3UCAC237-203835          ;V     ;294.789679; 28.435166;294.793753; 28.435338; 408.245; 515.471;11.234;562.3107;26.00155;0.5411;0.0146221;3.95724631;3.33326102;87.983805;1.40335E-002;34123.783;91.79220;0000
2457266.64763;3UCAC238-198377          ;V     ;294.914268; 28.688258;294.911502; 28.687601;1207.098; 832.256;11.252;557.0947;26.00155;0.5411;0.0006476;3.87355938;2.87447933;66.706769;1.80403E-001;1216.1508; 3.74794;0008
2457266.64763;3UCAC238-197774          ;V     ;294.826812; 28.734607;294.831162; 28.733175;1348.151; 608.514;11.305;557.4765;26.00155;0.5411;0.0021250;4.16975567;2.47316892;79.817597;5.75073E-002;3626.0940;11.04918;0000
2457266.64763;3UCAC238-197189          ;V     ;294.745021; 28.675540;294.743676; 28.674001;1158.987; 368.718;11.317;557.8707;26.00155;0.5411;0.0001588;10.1942048;1.71529756;177.71580;7.24048E-001; 0.000000; 0.00000;0008
2457266.64763;3UCAC238-198214          ;V     ;294.893201; 28.613927;294.896145; 28.610955; 965.012; 792.666;11.329;558.1175;26.00155;0.5411;0.0010956;3.48078764;2.22698816;92.456204;1.19503E-001;977.35898; 3.01545;0008
2457266.64763;3UCAC238-196678          ;V     ;294.676478; 28.715340;294.678972; 28.715183;1286.943; 188.500;11.393;556.4602;26.00155;0.5411;0.0014540;0.81007980;0.41389270;179.86611;8.14654E-002; 0.000000; 0.00000;000a
2457266.64763;3UCAC237-204010          ;V     ;294.813360; 28.489446;294.813503; 28.490736; 583.463; 568.255;11.405;560.1840;26.00155;0.5411;0.0015366;3.74144852;2.74785078;80.231837;7.82528E-002;2772.7122; 8.48248;0008
