0315;0220
Bounds;297.851805;55.123320;298.369773;55.578502
Aperture;12;1;3
Background photometric window
DATE_OBS     ;NAME                     ;FILTER;CATRA     ;CATDEC    ;IMGRA     ;IMGDEC    ;IMGX    ;IMGY    ;R1mag ;BKGROUND;BGSTDDEV;BGRJCT;PSF_A    ;PSF_SIGMAX;PSF_SIGMAY;PSF_THETA;PSF_MAD     ;FLUX12   ;SNR12   ;FLAG
2457266.63581;USNO 1451-0296933        ;I     ;297.897753; 55.138549;297.897752; 55.138488;1435.774; 133.706; 9.280;421.1788;23.01716;0.1644;0.1161352;4.51521185;3.64721822;69.891277;5.72413E-003;326416.72;525.1587;0000
2457266.63581;USNO 1451-0297019        ;I     ;297.953268; 55.155480;297.953218; 55.155449;1381.539; 233.368; 9.730;419.4709;23.01716;0.1644;0.0940455;4.38971820;3.51117589;69.441719;5.96995E-003;250266.69;449.3585;0000
2457266.63581;USNO 1455-0301058        ;I     ;297.889342; 55.561783;297.889310; 55.561807;  99.533; 109.601; 9.940;436.5555;23.01716;0.1644;0.0399083;5.10211530;4.95645533;38.868778;8.79709E-003;161553.25;343.2868;0000
2457266.63581;USNO 1454-0300645        ;I     ;298.351565; 55.457334;298.351574; 55.457308; 421.385; 939.066;10.110;421.5384;23.01716;0.1644;0.0419092;4.63355667;3.96378732;56.881590;8.15953E-003;129951.03;298.2310;0000
2457266.63581;USNO 1454-0300412        ;I     ;298.210563; 55.443386;298.210554; 55.443373; 468.409; 687.195;10.130;425.4695;23.01716;0.1644;0.1059883;4.45564238;3.93085076;56.036667;5.61433E-003;312311.40;511.8970;0001
2457266.63581;USNO 1453-0297867        ;I     ;298.108950; 55.328237;298.108907; 55.328205; 833.829; 508.783;11.000;442.7218;23.01716;0.1644;0.3323014;4.35792130;3.73666990;60.150915;3.53747E-003;908256.58;923.0638;0001
2457266.63581;USNO 1455-0300995        ;I     ;297.856068; 55.514695;297.856034; 55.514663; 248.725;  51.123;11.100;421.4871;23.01716;0.1644;0.0106620;4.77291082;4.72714529;14.328233;1.55486E-002;39179.178;124.4586;0000
2457266.63581;USNO 1451-0297050        ;I     ;297.965553; 55.179384;297.965540; 55.179454;1305.596; 255.003;11.190;414.3005;23.01716;0.1644;0.0224487;4.31324231;3.56361425;69.665057;9.08030E-003;59215.056;171.5601;0000
2457266.63581;USNO 1452-0296258        ;I     ;298.225810; 55.274011;298.225789; 55.274055;1002.586; 720.600;11.240;415.7959;23.01716;0.1644;0.0222636;4.39655777;3.45871814;61.904476;9.04259E-003;57915.704;168.7182;0000
2457266.63581;USNO 1455-0301086        ;I     ;297.901541; 55.549517;297.903145; 55.550513; 135.026; 134.538;11.250;425.2302;23.01716;0.1644;0.0405896;0.99491596;0.40420689;105.38523;2.66208E-003;439.70665; 1.78977;000a
