0315;0220
Bounds;359.308323;61.016137;359.923906;61.472050
Aperture;12;1;3
Background photometric window
DATE_OBS     ;NAME                     ;FILTER;CATRA     ;CATDEC    ;IMGRA     ;IMGDEC    ;IMGX    ;IMGY    ;R1mag ;BKGROUND;BGSTDDEV;BGRJCT;PSF_A    ;PSF_SIGMAX;PSF_SIGMAY;PSF_THETA;PSF_MAD     ;FLUX12   ;SNR12   ;FLAG
2457266.79609;USNO 1513-0377283        ;V     ;359.373895; 61.380482;359.373960; 61.380571; 336.369; 140.928; 8.870;2840.797;53.27213;0.4940;0.2987918;7.80432096;6.04395867;14.880676;8.32639E-003;1999008.7;1312.422;0001
2457266.79609;USNO 1512-0376903        ;V     ;359.534762; 61.212720;359.538573; 61.213793; 861.079; 394.136; 8.980;2766.713;53.27213;0.4940;0.1620951;7.40306044;6.37213848;27.212072;1.31193E-002;1095738.6;920.5938;0001
2457266.79609;USNO 1512-0376909        ;V     ;359.536656; 61.212817;359.538573; 61.213793; 861.079; 394.136; 9.250;2766.713;53.27213;0.4940;0.1620951;7.40306044;6.37213848;27.212072;1.31193E-002;1095738.6;920.5938;0001
2457266.79609;USNO 1510-0375647        ;V     ;359.540833; 61.037692;359.539692; 61.038159;1415.329; 400.408; 9.420;3011.930;53.27213;0.4940;0.3573126;9.27323957;7.36425729;141.26280;9.23781E-003;3094994.6;1674.571;0001
2457266.79609;USNO 1510-0375642        ;V     ;359.539054; 61.038628;359.539692; 61.038159;1415.329; 400.408; 9.710;3011.930;53.27213;0.4940;0.3573126;9.27323957;7.36425729;141.26280;9.23781E-003;3094994.6;1674.571;0001
2457266.79609;USNO 1511-0377886        ;V     ;359.386211; 61.184509;359.386047; 61.184698; 954.418; 162.847;10.060;2680.921;53.27213;0.4940;0.0996841;7.11267047;5.58981030; 9.914310;1.30467E-002;596097.36;622.4703;0000
2457266.79609;USNO 1511-0378796        ;V     ;359.679784; 61.160923;359.679419; 61.161137;1025.365; 609.935;10.080;2724.279;53.27213;0.4940;0.1973542;7.53441385;5.90451893;19.721245;9.68494E-003;1267215.4;1005.543;0001
2457266.79609;USNO 1513-0378165        ;V     ;359.693702; 61.336983;359.693668; 61.337018; 470.116; 625.744;10.120;2696.604;53.27213;0.4940;0.1300017;7.40537733;5.90282921;14.790571;1.10258E-002;829745.22;773.5038;0001
2457266.79609;USNO 1512-0376911        ;V     ;359.538665; 61.213630;359.538573; 61.213793; 861.079; 394.136;10.310;2766.713;53.27213;0.4940;0.1620951;7.40306044;6.37213848;27.212072;1.31193E-002;1095738.6;920.5938;0001
2457266.79609;USNO 1512-0377022        ;V     ;359.574870; 61.221045;359.574674; 61.221174; 837.349; 448.803;10.360;2729.772;53.27213;0.4940;0.0703281;7.10765335;5.54715089;15.464836;1.45143E-002;414581.97;483.3996;0001
2457266.79609;USNO 1512-0377172        ;V     ;359.617718; 61.222339;359.620514; 61.218766; 844.345; 518.532;10.460;2686.453;53.27213;0.4940;0.0115898;8.47117851;5.86399042;174.84200;3.94043E-002;81098.156;127.8986;0001
2457266.79609;USNO 1512-0377206        ;V     ;359.624392; 61.202906;359.624936; 61.204240; 890.126; 525.689;10.510;2753.871;53.27213;0.4940;0.0196931;13.0437946;6.99853558;54.013414;7.60966E-002;207617.20;285.5673;0001
2457266.79609;USNO 1513-0378067        ;V     ;359.659065; 61.322085;359.658923; 61.322128; 517.624; 573.615;10.510;2687.760;53.27213;0.4940;0.0921624;7.43785422;5.84652492;11.124700;1.35398E-002;588233.34;616.9091;0001
2457266.79609;USNO 1513-0377453        ;V     ;359.437939; 61.396362;359.437964; 61.396531; 285.452; 237.357;10.520;2699.844;53.27213;0.4940;0.0559572;7.73212887;6.01151023;18.342804;1.39826E-002;371829.70;446.7278;0001
2457266.79609;USNO 1513-0377332        ;V     ;359.394243; 61.374055;359.394269; 61.374169; 356.410; 171.754;10.610;2710.128;53.27213;0.4940;0.1197623;7.70384890;5.99558435;14.431741;1.17810E-002;796125.64;753.2482;0001
2457266.79609;USNO 1512-0376910        ;V     ;359.538665; 61.213630;359.538573; 61.213793; 861.079; 394.136;10.620;2766.713;53.27213;0.4940;0.1620951;7.40306044;6.37213848;27.212072;1.31193E-002;1095738.6;920.5938;0001
2457266.79609;USNO 1510-0375669        ;V     ;359.551225; 61.037928;359.551840; 61.038186;1415.101; 418.975;10.710;2703.846;53.27213;0.4940;0.0243473;6.85655713;6.11199421;48.536879;5.53204E-002;161808.76;232.8798;0001
2457266.79609;USNO 1513-0378015        ;V     ;359.643802; 61.373831;359.643894; 61.373828; 354.685; 549.245;10.720;2681.972;53.27213;0.4940;0.0603493;7.38741392;5.93225654;15.861098;1.47167E-002;388415.54;461.1668;0001
2457266.79609;USNO 1511-0379064        ;V     ;359.756712; 61.132973;359.756346; 61.133106;1112.595; 728.075;10.740;2678.360;53.27213;0.4940;0.0464932;7.54176342;6.01120629;26.443131;1.54317E-002;303016.89;383.6031;0000
2457266.79609;USNO 1512-0377097        ;V     ;359.594659; 61.207689;359.596119; 61.207070; 881.583; 481.795;10.760;2674.859;53.27213;0.4940;0.0181731;6.96867383;5.76421246; 9.656101;4.03854E-002;115477.02;174.7970;0001
2457266.79609;USNO 1510-0375667        ;V     ;359.549964; 61.038000;359.551840; 61.038186;1415.101; 418.975;10.800;2703.846;53.27213;0.4940;0.0243473;6.85655713;6.11199421;48.536879;5.53204E-002;161808.76;232.8798;0001
2457266.79609;USNO 1512-0376373        ;V     ;359.344214; 61.221673;359.344014; 61.221796; 837.666;  98.284;10.880;2664.750;53.27213;0.4940;0.0369536;7.15282757;5.46322355;10.146744;1.86685E-002;219634.00;298.7194;0001
