0315;0220
Bounds;296.367967;48.843551;296.818455;49.300253
Aperture;14;1;3
Background photometric window
DATE_OBS     ;NAME                     ;FILTER;CATRA     ;CATDEC    ;IMGRA     ;IMGDEC    ;IMGX    ;IMGY    ;R2mag ;BKGROUND;BGSTDDEV;BGRJCT;PSF_A    ;PSF_SIGMAX;PSF_SIGMAY;PSF_THETA;PSF_MAD     ;FLUX14   ;SNR14   ;FLAG
2457266.62294;3UCAC279-155926          ;V     ;296.649792; 49.152946;296.649780; 49.152908; 511.430; 622.090; 7.845;476.7140;24.11446;0.2528;0.2110117;3.83546250;3.34585750;75.290459;4.37955E-003;471900.59;629.8075;0000
2457266.62294;3UCAC278-156935          ;V     ;296.753940; 48.931936;296.753861; 48.931970;1205.365; 844.622; 8.010;473.9521;24.11446;0.2528;0.5855711;4.00537958;2.87969008;67.392075;2.96247E-003;1176542.4;1045.636;0000
2457266.62294;3UCAC279-155776          ;V     ;296.563510; 49.225992;296.563420; 49.225949; 282.974; 442.049; 8.680;480.8359;24.11446;0.2528;0.0713043;4.12651614;3.86926296;66.145335;5.27172E-003;193453.57;363.6694;0000
2457266.62294;3UCAC279-155700          ;V     ;296.519103; 49.266740;296.519041; 49.266697; 155.368; 349.646; 8.717;486.2899;24.11446;0.2528;0.0681618;4.44238670;4.15491188;71.778937;5.75524E-003;210017.96;383.7367;0000
2457266.62294;3UCAC279-155741          ;V     ;296.544402; 49.073478;296.544418; 49.073493; 763.830; 407.190; 8.866;474.2855;24.11446;0.2528;0.3625493;3.68645289;3.06366982;82.034435;3.24489E-003;722896.10;802.0245;0000
2457266.62294;3UCAC278-156683          ;V     ;296.615424; 48.860032;296.615501; 48.860023;1435.232; 560.462; 8.896;472.5361;24.11446;0.2528;0.1055330;4.08684553;2.88799912;75.772929;5.01959E-003;217391.56;392.4088;0000
2457266.62294;3UCAC279-155807          ;V     ;296.575475; 49.101112;296.575483; 49.101105; 676.215; 470.501; 9.214;474.8624;24.11446;0.2528;0.0611251;3.76645220;3.17114297;81.902727;5.31437E-003;128043.21;274.5160;0000
2457266.62294;3UCAC279-155691          ;V     ;296.512311; 49.133226;296.512305; 49.133204; 576.221; 339.330; 9.242;475.1180;24.11446;0.2528;0.1097038;3.74353299;3.29613276;79.114199;4.72841E-003;237987.14;415.8586;0000
2457266.62294;3UCAC279-155914          ;V     ;296.640978; 49.023791;296.641019; 49.023828; 918.433; 608.143; 9.366;474.6149;24.11446;0.2528;0.0614835;3.63559634;2.94073744;74.905863;5.68005E-003;116900.93;257.3032;0000
2457266.62294;3UCAC279-155686          ;V     ;296.510487; 49.217059;296.510421; 49.217044; 312.014; 333.235; 9.565;479.5955;24.11446;0.2528;0.0279368;4.21130536;3.91469379;85.395433;9.33402E-003;80364.424;194.9808;0000
2457266.62294;3UCAC279-156165          ;V     ;296.775056; 49.023050;296.775107; 49.023066; 917.739; 885.189; 9.810;474.5710;24.11446;0.2528;0.0944604;3.83643677;3.00974186;68.797457;5.07767E-003;191925.00;361.7743;0000
2457266.62294;3UCAC279-155671          ;V     ;296.502454; 49.208647;296.502404; 49.208613; 338.728; 316.954; 9.840;478.7975;24.11446;0.2528;0.0425673;4.08346020;3.76909994;85.299390;6.84273E-003;111636.73;248.9109;0000
2457266.62294;3UCAC279-155738          ;V     ;296.541593; 49.015995;296.541644; 49.016029; 944.992; 403.055; 9.840;473.8900;24.11446;0.2528;0.0433732;3.65602109;2.96305560;79.749940;6.14670E-003;82995.964;199.8238;0000
2457266.62294;3UCAC279-155649          ;V     ;296.486412; 49.272242;296.486318; 49.272202; 138.587; 282.231; 9.878;487.1172;24.11446;0.2528;0.0225035;4.42309050;4.14821397;72.053336;1.03982E-002;69840.809;174.9539;0000
2457266.62294;3UCAC278-156956          ;V     ;296.770312; 48.922226;296.770290; 48.922259;1235.566; 878.986;10.039;473.6024;24.11446;0.2528;0.0862843;4.07193919;2.88905157;66.361361;5.12394E-003;178289.96;344.5217;0000
2457266.62294;3UCAC279-155903          ;V     ;296.633623; 49.030091;296.633598; 49.030146; 898.677; 592.613;10.105;474.5980;24.11446;0.2528;0.0405194;3.63309307;2.91693138;74.268084;6.87175E-003;75927.243;186.6693;0000
2457266.62294;3UCAC278-156346          ;V     ;296.420264; 48.871935;296.420251; 48.871871;1401.398; 155.482;10.121;470.7228;24.11446;0.2528;0.0282490;4.04677488;3.10471370;84.755931;7.93074E-003;62364.193;160.0238;0000
