Primary target: NGC 7790
Exposure time: 60 s
Filter: B
Observation date/time: 2015-08-25 03:23:06
JD: 2457259.64104
Decimal date: 2015-08-25.14104
R.A.: 23:58:33.11
Dec.: 61:13:13.47
Airmass: 1.4930
Calibration: BDF
Apeture radius: 5 pixels
File name: 635764995654053984.fts




Star	IM	SNR	X	Y	Sky	Air	B-V	B-mag	Target estimate	Active		
110	-7.259	 297	441.573	537.918	 157	1.488	0.457	11.474	18.733	True		
112	-6.803	 224	1 296.495	176.002	 156	1.485	0.739	11.950	18.753	True		
117	-6.855	 231	421.706	227.113	 155	1.485	0.216	11.875	18.730	True		
117_1	-5.710	 104	1 038.852	693.431	 154	1.490	1.416	13.129	18.839	True		
119	-6.327	 161	1 126.952	95.342	 155	1.485	0.419	12.363	18.690	True		
121	-6.201	 150	849.734	409.748	 155	1.487	0.405	12.522	18.723	True		
122	-5.935	 117	453.709	138.566	 156	1.484	0.557	12.801	18.736	True		
124	-5.606	 98	1 029.066	319.929	 156	1.486	0.689	13.141	18.747	True		
124_1	-5.711	 101	857.773	311.990	 154	1.486	0.537	13.025	18.736	True		
125	-5.465	 85	1 080.631	214.573	 155	1.486	0.698	13.297	18.762	True		
125_1	-4.504	 41	931.852	777.216	 154	1.490	1.742	14.333	18.837	True		
126	-5.690	 102	903.774	386.839	 156	1.487	0.446	13.063	18.753	True		
126_1	-5.671	 93	826.251	477.786	 157	1.488	0.378	13.042	18.713	True		
127	-4.676	 45	923.840	258.984	 153	1.486	1.351	14.130	18.806	True		
127_1	-5.540	 85	807.383	446.069	 156	1.487	0.388	13.163	18.703	True		
127_2	-5.518	 88	1 062.725	660.603	 155	1.489	0.455	13.224	18.742	True		
128	-5.133	 64	969.539	771.385	 155	1.490	0.806	13.612	18.745	True		
128_1	-3.892	 21	795.467	350.661	 157	1.486	2.061	14.949	18.841	True		
129	-4.589	 41	549.930	622.668	 155	1.489	1.301	14.252	18.841	True		
130	-4.970	 56	922.964	232.876	 155	1.486	0.663	13.757	18.727	True		
130_1	-5.284	 67	792.405	483.065	 157	1.488	0.391	13.432	18.716	True		
131	-5.065	 60	796.996	608.388	 156	1.489	0.495	13.667	18.732	True		
131_1	-4.943	 58	947.284	892.808	 154	1.491	0.785	13.849	18.792	True		
131_2	-4.437	 38	860.423	382.698	 156	1.487	1.223	14.327	18.764	True		
131_3	-5.161	 65	1 102.404	471.919	 157	1.488	0.401	13.542	18.703	True		
131_4	-5.280	 58	785.273	498.213	 158	1.488	0.378	13.484	18.764	True		
131_5	-5.090	 62	681.798	563.633	 156	1.488	0.540	13.666	18.756	True		
131_6	-4.174	 30	878.371	640.733	 156	1.489	1.503	14.698	18.872	True		
132	-4.976	 57	860.396	356.798	 155	1.487	0.509	13.741	18.717	True		
132_1	-5.064	 53	800.549	402.220	 157	1.487	0.441	13.702	18.766	True		
132_2	-4.805	 49	740.173	490.803	 154	1.488	0.692	13.946	18.751	True		
132_3	-5.033	 60	1 080.965	535.922	 156	1.488	0.433	13.714	18.747	True		
133	-5.009	 59	1 045.605	199.544	 154	1.485	0.380	13.715	18.724	True		
133_1	-4.791	 50	1 083.618	372.605	 155	1.487	0.604	13.985	18.776	True		
133_2	-5.017	 52	811.760	520.806	 156	1.488	0.382	13.694	18.711	True		
133_3	-4.093	 28	945.721	666.589	 153	1.489	1.489	14.825	18.918	True		
134	-4.818	 51	603.890	326.523	 154	1.486	0.428	13.890	18.708	True		
134_1	-3.861	 23	1 044.944	497.025	 155	1.488	1.487	14.927	18.788	True		
