Primary target: NGC 7790
Exposure time: 120 s
Filter: I
Observation date/time: 2015-08-25 03:36:04
JD: 2457259.65005
Decimal date: 2015-08-25.15005
R.A.: 23:58:33.91
Dec.: 61:13:15.11
Airmass: 1.4488
Calibration: BDF
Apeture radius: 5 pixels
File name: 635764995713153984.fts




Star	IM	SNR	X	Y	Sky	Air	B-V	I-mag	Target estimate	Active		
110	-8.122	 667	443.678	533.211	 316	1.446	0.457	10.453	18.575	True		
112	-8.197	 702	1 297.634	171.716	 316	1.443	0.739	10.380	18.577	True		
117	-7.219	 410	424.027	222.663	 314	1.443	0.216	11.392	18.611	True		
117_1	-8.312	 751	1 040.554	688.324	 313	1.447	1.416	10.223	18.535	True		
119	-7.245	 424	1 128.524	90.899	 311	1.443	0.419	11.323	18.568	True		
121	-7.040	 354	851.568	405.136	 312	1.445	0.405	11.527	18.567	True		
122	-7.011	 339	455.979	134.351	 312	1.443	0.557	11.557	18.568	True		
124	-6.963	 355	1 030.637	315.316	 313	1.444	0.689	11.598	18.561	True		
124_1	-6.729	 314	859.590	307.363	 312	1.444	0.537	11.849	18.578	True		
125	-6.817	 315	1 082.490	210.140	 311	1.443	0.698	11.761	18.578	True		
125_1	-7.748	 561	933.712	772.036	 314	1.448	1.742	10.775	18.523	True		
126	-6.510	 256	905.404	382.085	 310	1.445	0.446	12.056	18.566	True		
126_1	-6.484	 180	827.986	472.969	 310	1.446	0.378	12.120	18.604	True		
127	-7.177	 394	925.573	254.338	 311	1.444	1.351	11.364	18.541	True		
127_1	-6.362	 226	808.837	441.190	 315	1.445	0.388	12.214	18.576	True		
127_2	-6.391	 242	1 064.262	655.756	 311	1.447	0.455	12.157	18.548	True		
128	-6.738	 308	970.897	766.094	 312	1.448	0.806	11.811	18.549	True		
128_1	-8.462	 762	797.463	345.246	 321	1.444	2.061	10.076	18.538	True		
129	-7.043	 377	552.085	617.519	 309	1.447	1.301	11.507	18.550	True		
130	-6.250	 202	924.608	228.478	 313	1.444	0.663	12.308	18.558	True		
130_1	-6.089	 143	794.072	478.443	 314	1.446	0.391	12.488	18.577	True		
131	-5.991	 175	798.857	603.580	 310	1.447	0.495	12.549	18.540	True		
131_1	-6.415	 258	948.947	887.762	 313	1.449	0.785	12.115	18.530	True		
131_2	-6.821	 318	862.142	377.953	 312	1.445	1.223	11.724	18.545	True		
131_3	-5.988	 175	1 103.896	467.161	 312	1.446	0.401	12.587	18.575	True		
131_4	-6.114	 158	786.751	493.274	 314	1.446	0.378	12.557	18.671	True		
131_5	-6.095	 197	683.803	558.598	 311	1.446	0.540	12.457	18.552	True		
