Primary target: NGC 7790
Exposure time: 60 s
Filter: V
Observation date/time: 2015-08-25 03:27:17
JD: 2457259.64395
Decimal date: 2015-08-25.14395
R.A.: 23:58:33.36
Dec.: 61:13:12.20
Airmass: 1.4790
Calibration: BDF
Apeture radius: 5 pixels
File name: 635764995884183984.fts




Star	IM	SNR	X	Y	Sky	Air	B-V	V-mag	Target estimate	Active		
110	-8.408	 544	441.310	536.620	 259	1.474	0.457	11.017	19.425	True		
112	-8.219	 495	1 294.313	175.435	 258	1.471	0.739	11.211	19.430	True		
117	-7.775	 382	421.914	226.544	 256	1.471	0.216	11.659	19.434	True		
117_1	-7.695	 362	1 037.408	691.549	 259	1.476	1.416	11.713	19.408	True		
119	-7.468	 317	1 125.358	94.889	 256	1.471	0.419	11.944	19.412	True		
121	-7.285	 280	848.767	408.732	 258	1.473	0.405	12.117	19.402	True		
122	-7.182	 251	453.817	138.302	 257	1.470	0.557	12.244	19.426	True		
124	-6.959	 230	1 027.586	319.045	 257	1.472	0.689	12.452	19.411	True		
124_1	-6.902	 223	856.790	311.239	 258	1.472	0.537	12.488	19.390	True		
125	-6.824	 202	1 079.394	213.969	 257	1.472	0.698	12.599	19.423	True		
125_1	-6.825	 209	930.836	775.180	 258	1.476	1.742	12.591	19.416	True		
126	-6.783	 200	902.558	385.801	 259	1.473	0.446	12.617	19.400	True		
126_1	-6.767	 178	825.273	476.494	 259	1.474	0.378	12.664	19.431	True		
127	-6.624	 182	922.567	258.303	 259	1.472	1.351	12.779	19.403	True		
127_1	-6.629	 176	806.283	444.806	 259	1.473	0.388	12.775	19.404	True		
127_2	-6.633	 182	1 061.323	658.859	 256	1.475	0.455	12.769	19.402	True		
128	-6.594	 172	967.994	769.251	 259	1.476	0.806	12.806	19.400	True		
128_1	-6.585	 150	794.569	349.232	 260	1.473	2.061	12.888	19.473	True		
129	-6.482	 163	549.813	620.760	 257	1.475	1.301	12.951	19.433	True		
130	-6.292	 136	921.836	232.311	 261	1.472	0.663	13.094	19.386	True		
130_1	-6.371	 126	791.460	481.792	 260	1.474	0.391	13.041	19.412	True		
131	-6.233	 135	796.285	606.817	 257	1.475	0.495	13.172	19.405	True		
131_1	-6.363	 151	946.061	890.571	 255	1.477	0.785	13.064	19.427	True		
131_2	-6.308	 147	859.283	381.581	 259	1.473	1.223	13.104	19.412	True		
131_3	-6.283	 143	1 100.590	470.662	 255	1.474	0.401	13.141	19.424	True		
131_4	-6.415	 132	784.354	496.965	 259	1.474	0.378	13.106	19.521	True		
131_5	-6.271	 141	681.373	561.876	 258	1.474	0.540	13.126	19.397	True		
131_6	-6.210	 136	877.365	638.993	 259	1.475	1.503	13.195	19.405	True		
132	-6.167	 125	859.151	355.790	 257	1.473	0.509	13.232	19.399	True		
132_1	-6.182	 109	799.935	401.351	 262	1.473	0.441	13.261	19.443	True		
132_2	-6.152	 123	739.423	489.597	 258	1.474	0.692	13.254	19.406	True		
132_3	-6.137	 131	1 079.478	534.514	 256	1.474	0.433	13.281	19.418	True		
133	-6.022	 117	1 043.831	199.134	 259	1.471	0.380	13.335	19.357	True		
133_1	-6.034	 121	1 082.052	371.406	 259	1.473	0.604	13.381	19.415	True		
133_2	-6.107	 112	810.760	519.525	 258	1.474	0.382	13.312	19.419	True		
133_3	-6.076	 123	944.066	664.680	 258	1.475	1.489	13.336	19.412	True		
134	-5.925	 114	603.577	325.516	 256	1.472	0.428	13.462	19.387	True		
134_1	-5.969	 110	1 043.556	495.426	 259	1.474	1.487	13.440	19.409	True		
134_2	-5.910	 101	826.725	519.110	 258	1.474	0.398	13.484	19.394	True		
134_3	-5.971	 114	634.668	536.322	 257	1.474	1.526	13.447	19.418	True		
135	-5.889	 103	895.043	218.282	 258	1.472	1.519	13.523	19.412	True		
135_1	-5.911	 109	1 096.141	264.529	 256	1.472	0.600	13.517	19.428	True		
135_2	-5.853	 100	613.317	272.515	 257	1.472	1.149	13.563	19.416	True		
135_3	-5.854	 102	1 097.575	302.132	 258	1.472	1.557	13.584	19.438	True		
135_4	-5.852	 101	621.345	510.705	 257	1.474	0.816	13.542	19.394	True		
135_5	-5.924	 104	675.923	572.323	 257	1.474	0.463	13.508	19.432	True		
135_6	-5.835	 102	619.791	795.035	 259	1.476	0.465	13.582	19.417	True		
136	-5.701	 87	685.445	346.526	 258	1.472	0.395	13.676	19.377	True		
136_1	-5.765	 97	711.402	440.499	 259	1.473	0.745	13.621	19.386	True		
136_2	-5.796	 90	808.957	545.957	 259	1.474	0.412	13.663	19.459	True		
136_3	-5.735	 92	601.963	742.861	 256	1.476	1.367	13.683	19.418	True		
137	-5.687	 78	791.113	388.509	 257	1.473	1.487	13.748	19.435	True		
137_1	-5.668	 80	781.578	428.243	 257	1.473	0.453	13.754	19.422	True		
137_2	-5.681	 90	930.555	617.976	 258	1.475	1.383	13.721	19.402	True		
139	-5.414	 66	702.548	340.092	 257	1.472	0.456	13.996	19.410	True		
139_1	-5.445	 76	1 053.604	408.043	 258	1.473	0.391	13.949	19.394	True		
140	-5.324	 66	775.982	452.377	 258	1.473	0.417	14.083	19.407	True		
141	-5.276	 58	558.427	382.131	 257	1.473	0.364	14.139	19.415	True		
141_1	-5.219	 59	1 022.056	462.342	 258	1.474	1.282	14.191	19.410	True		
141_2	-5.257	 62	858.451	653.300	 259	1.475	0.806	14.136	19.393	True		
142	-5.127	 55	551.891	450.331	 259	1.473	0.511	14.262	19.389	True		
142_1	-5.135	 54	808.725	578.318	 261	1.475	0.526	14.246	19.381	True		
143	-5.042	 54	988.771	311.399	 258	1.472	0.966	14.390	19.432	True		
143_1	-5.022	 45	822.154	561.418	 259	1.474	0.425	14.394	19.416	True		
143_2	-5.003	 50	675.796	706.071	 258	1.476	0.716	14.396	19.399	True		
143_3	-5.096	 54	989.874	713.941	 258	1.476	1.439	14.320	19.416	True		
144	-5.003	 54	981.322	288.519	 257	1.472	0.729	14.438	19.441	True		
144_1	-4.997	 51	1 063.425	632.198	 258	1.475	0.440	14.418	19.415	True		
144_2	-4.940	 48	1 030.039	751.546	 257	1.476	0.579	14.476	19.416	True		
145	-5.545	 81	672.441	653.904	 258	1.475	0.610	14.467	20.012	True		
145_1	-4.840	 41	815.676	398.426	 258	1.473	0.777	14.568	19.408	True		
145_2	-4.869	 45	949.901	407.316	 255	1.473	1.213	14.507	19.376	True		
145_3	-4.827	 38	904.996	432.213	 259	1.473	0.442	14.580	19.407	True		
145_4	-4.869	 46	599.494	472.170	 256	1.473	0.470	14.534	19.403	True		
145_5	-4.739	 36	797.522	513.500	 262	1.474	1.496	14.586	19.325	True		
145_6	-4.907	 47	856.038	521.249	 257	1.474	0.479	14.525	19.432	True		
145_7	-4.899	 49	669.681	605.997	 256	1.475	0.552	14.514	19.413	True		
146	-4.714	 39	563.360	406.632	 258	1.473	0.805	14.668	19.382	True		
146_1	-4.788	 37	747.184	409.344	 259	1.473	1.434	14.622	19.410	True		
146_2	-4.790	 38	801.144	412.590	 257	1.473	0.435	14.643	19.433	True		
146_3	-4.779	 40	972.613	431.145	 258	1.473	0.973	14.647	19.426	True		
146_4	-4.834	 36	811.692	501.228	 259	1.474	0.439	14.604	19.438	True		
146_5	-4.750	 39	640.122	650.613	 257	1.475	1.324	14.645	19.395	True		
147	-4.603	 35	732.572	397.174	 261	1.473	1.294	14.754	19.357	True		
147_1	-4.651	 38	989.292	433.426	 258	1.473	0.530	14.739	19.390	True		
147_2	-4.689	 33	818.262	455.555	 257	1.473	0.839	14.729	19.418	True		
147_3	-4.643	 35	839.800	540.996	 260	1.474	0.460	14.719	19.362	True		
147_4	-4.653	 36	735.299	768.816	 259	1.476	1.626	14.758	19.411	True		
148	-4.603	 29	699.415	347.877	 258	1.472	0.707	14.837	19.440	True		
148_1	-4.544	 34	659.365	542.859	 257	1.474	0.722	14.895	19.439	True		
148_2	-4.643	 37	1 049.633	578.344	 255	1.475	0.831	14.824	19.467	True		
148_3	-4.488	 32	832.789	716.768	 257	1.476	0.498	14.854	19.342	True		
149	-4.527	 35	704.624	299.308	 258	1.472	0.435	14.906	19.433	True		
149_1	-4.475	 34	980.749	313.214	 258	1.472	0.565	14.943	19.418	True		
149_2	-4.452	 34	913.622	491.531	 259	1.474	1.570	14.998	19.450	True		
149_3	-4.478	 32	553.451	534.437	 258	1.474	0.485	14.943	19.421	True		
149_4	-4.443	 32	1 085.674	697.463	 259	1.476	0.544	14.940	19.383	True		
150	-4.250	 27	542.407	280.534	 258	1.472	0.903	15.071	19.321	True		
150_1	-4.415	 31	605.470	381.149	 256	1.473	0.747	15.051	19.466	True		
150_2	-4.378	 28	974.026	417.754	 259	1.473	1.477	15.024	19.402	True		
150_3	-4.391	 29	549.017	435.402	 257	1.473	0.617	15.069	19.460	True		
150_4	-4.335	 27	890.222	462.332	 258	1.474	0.483	15.094	19.429	True		
151	-4.312	 29	961.127	255.520	 257	1.472	0.778	15.140	19.452	True		
151_1	-4.369	 20	775.155	411.705	 259	1.473	1.611	15.137	19.506	True		
151_2	-4.137	 23	687.439	429.272	 260	1.473	0.502	15.189	19.326	True		
151_3	-4.189	 26	595.518	596.449	 259	1.475	0.862	15.183	19.372	True		
151_4	-4.203	 24	741.511	751.093	 260	1.476	1.079	15.125	19.328	True		
152	-4.138	 24	903.848	347.463	 258	1.473	0.584	15.274	19.412	True		
152_1	-4.237	 24	692.657	357.115	 258	1.473	0.860	15.220	19.457	True		
152_2	-4.132	 23	884.264	374.914	 258	1.473	0.476	15.249	19.381	True		
152_3	-4.199	 25	845.265	434.531	 258	1.473	0.485	15.233	19.432	True		
152_4	-4.157	 24	632.678	549.811	 257	1.474	0.828	15.231	19.388	True		
152_5	-4.175	 25	772.770	556.880	 256	1.474	0.864	15.240	19.415	True		
152_6	-4.156	 25	979.626	570.386	 257	1.475	0.561	15.264	19.420	True		
152_7	-4.020	 21	872.006	573.455	 260	1.475	0.608	15.282	19.302	True		
152_8	-4.080	 22	988.401	693.860	 257	1.476	0.513	15.281	19.361	True		
153	-4.029	 23	569.665	295.561	 257	1.472	1.459	15.360	19.389	True		
153_1	-4.016	 21	545.713	372.556	 259	1.473	1.146	15.304	19.320	True		
153_2	-4.016	 22	642.202	415.500	 259	1.473	0.825	15.357	19.373	True		
153_3	-3.985	 22	649.223	448.371	 259	1.473	0.806	15.385	19.370	True		
153_4	-3.998	 22	909.920	573.209	 259	1.475	1.690	15.387	19.385	True		
153_5	-4.085	 23	908.663	678.051	 258	1.475	1.930	15.346	19.431	True		
153_6	-4.129	 24	1 058.186	724.025	 256	1.476	0.512	15.305	19.434	True		
154	-3.929	 20	1 016.656	534.991	 258	1.474	0.522	15.474	19.403	True		
154_1	-4.034	 21	837.542	612.543	 256	1.475	0.690	15.410	19.444	True		
154_2	-3.965	 22	642.720	692.025	 258	1.475	0.972	15.437	19.402	True		
