Primary target: NGC 7790
Exposure time: 240 s
Filter: I
Observation date/time: 2015-09-01 07:15:37
JD: 2457266.80251
Decimal date: 2015-09-01.30251
R.A.: 23:58:27.50
Dec.: 61:14:41.90
Airmass: 1.0845
Calibration: BDF
Apeture radius: 6 pixels
File name: 635772428939660000.fts




Star	IM	SNR	X	Y	Sky	Air	B-V	I-mag	Target estimate	Active		
117	-7.092	 434	499.931	264.355	1 211	1.084	0.216	11.392	18.484	True		
119	-7.118	 460	1 203.166	132.446	1 207	1.082	0.419	11.323	18.441	True		
121	-6.915	 381	926.736	446.361	1 220	1.083	0.405	11.527	18.442	True		
124	-6.842	 363	1 105.763	356.519	1 216	1.083	0.689	11.598	18.440	True		
124_1	-6.625	 328	934.974	348.609	1 217	1.083	0.537	11.849	18.474	True		
125_1	-7.616	 619	1 009.444	812.698	1 220	1.083	1.742	10.775	18.391	True		
126	-6.406	 248	980.391	423.223	1 210	1.083	0.446	12.056	18.462	True		
127_2	-6.262	 237	1 139.357	696.631	1 217	1.083	0.455	12.157	18.419	True		
128	-6.607	 297	1 046.275	806.803	1 213	1.083	0.806	11.811	18.418	True		
129	-6.887	 385	628.292	658.318	1 210	1.084	1.301	11.507	18.394	True		
130	-6.142	 174	999.984	269.719	1 217	1.083	0.663	12.308	18.450	True		
131	-5.858	 167	874.440	644.348	1 214	1.083	0.495	12.549	18.407	True		
131_1	-6.306	 243	1 024.408	928.074	1 213	1.083	0.785	12.115	18.421	True		
131_2	-6.699	 341	937.485	419.242	1 218	1.083	1.223	11.724	18.423	True		
131_3	-5.879	 161	1 179.203	508.145	1 212	1.082	0.401	12.587	18.466	True		
131_6	-6.821	 361	955.481	676.749	1 218	1.083	1.503	11.578	18.399	True		
132_2	-6.023	 170	818.128	527.155	1 217	1.083	0.692	12.388	18.411	True		
132_3	-5.701	 152	1 157.777	571.976	1 211	1.083	0.433	12.741	18.442	True		
133	-5.628	 143	1 121.912	236.484	1 214	1.082	0.380	12.788	18.416	True		
133_1	-5.813	 180	1 159.803	409.178	1 213	1.082	0.604	12.636	18.449	True		
133_3	-6.622	 318	1 022.395	702.216	1 214	1.083	1.489	11.772	18.394	True		
134	-5.499	 131	681.690	363.275	1 211	1.084	0.428	12.949	18.448	True		
134_1	-6.587	 315	1 121.536	533.108	1 214	1.083	1.487	11.824	18.411	True		
134_3	-6.608	 300	713.173	573.685	1 212	1.084	1.526	11.784	18.392	True		
135	-6.533	 296	973.078	255.597	1 211	1.083	1.519	11.877	18.410	True		
135_1	-5.696	 157	1 174.426	302.096	1 211	1.082	0.600	12.770	18.466	True		
135_2	-6.104	 197	691.902	310.255	1 211	1.083	1.149	12.328	18.432	True		
135_3	-6.543	 313	1 175.723	339.515	1 216	1.082	1.557	11.884	18.427	True		
135_4	-5.658	 145	699.689	548.343	1 210	1.084	0.816	12.779	18.437	True		
135_6	-5.419	 123	698.306	832.557	1 210	1.084	0.465	12.984	18.403	True		
136_1	-5.739	 152	789.575	478.137	1 213	1.083	0.745	12.705	18.444	True		
136_3	-6.384	 263	680.402	780.875	1 208	1.084	1.367	12.035	18.419	True		
137_2	-6.218	 244	1 008.911	655.428	1 212	1.083	1.383	12.192	18.410	True		
139_1	-5.028	 84	1 131.878	445.389	1 214	1.082	0.391	13.422	18.450	True		
140	-4.880	 73	854.235	489.783	1 222	1.083	0.417	13.511	18.391	True		
141_1	-5.640	 139	1 100.115	500.179	1 212	1.083	1.282	12.771	18.411	True		
141_2	-5.263	 94	936.500	691.097	1 215	1.083	0.806	13.187	18.450	True		
142	-4.800	 63	630.253	487.959	1 208	1.084	0.511	13.623	18.423	True		
142_1	-4.897	 61	887.312	615.987	1 216	1.083	0.526	13.505	18.402	True		
143_2	-4.932	 79	754.384	743.808	1 212	1.084	0.716	13.507	18.439	True		
143_3	-5.888	 158	1 068.419	751.831	1 219	1.083	1.439	12.530	18.418	True		
