Primary target: NGC 7790
Exposure time: 120 s
Filter: V
Observation date/time: 2015-09-01 07:05:00
JD: 2457266.79514
Decimal date: 2015-09-01.29514
R.A.: 23:58:27.62
Dec.: 61:14:37.09
Airmass: 1.0877
Calibration: BDF
Apeture radius: 6 pixels
File name: 635772429086650000.fts




Star	IM	SNR	X	Y	Sky	Air	B-V	V-mag	Target estimate	Active		
112	-8.046	 541	1 367.069	212.461	 998	1.084	0.739	11.211	19.257	True		
117	-7.599	 402	496.337	263.641	 998	1.087	0.216	11.659	19.258	True		
117_1	-7.542	 370	1 110.914	727.896	 999	1.086	1.416	11.713	19.255	True		
119	-7.308	 329	1 198.271	132.142	 995	1.085	0.419	11.944	19.252	True		
121	-7.118	 283	922.366	445.483	1 003	1.086	0.405	12.117	19.235	True		
124	-6.790	 221	1 100.755	356.040	1 001	1.085	0.689	12.452	19.242	True		
124_1	-6.756	 221	930.520	347.856	 999	1.086	0.537	12.488	19.244	True		
125_1	-6.665	 200	1 004.446	811.237	 998	1.086	1.742	12.591	19.256	True		
126	-6.627	 187	976.036	422.480	1 000	1.086	0.446	12.617	19.244	True		
127_2	-6.462	 174	1 134.687	695.178	1 002	1.085	0.455	12.769	19.231	True		
128	-6.436	 161	1 041.730	805.278	 998	1.086	0.806	12.806	19.242	True		
129	-6.270	 145	624.186	657.230	 998	1.087	1.301	12.951	19.221	True		
130	-6.140	 119	995.215	269.320	 998	1.085	0.663	13.094	19.234	True		
131	-6.054	 123	870.100	643.230	 998	1.086	0.495	13.172	19.226	True		
131_1	-6.216	 144	1 019.834	926.690	 995	1.086	0.785	13.064	19.280	True		
131_2	-6.152	 135	933.045	418.390	 999	1.086	1.223	13.104	19.256	True		
131_3	-6.092	 120	1 173.811	507.295	1 000	1.085	0.401	13.141	19.233	True		
131_6	-6.047	 123	951.064	675.324	1 001	1.086	1.503	13.195	19.242	True		
132_2	-5.973	 107	813.364	526.261	 999	1.086	0.692	13.254	19.227	True		
132_3	-5.973	 115	1 152.651	571.050	1 000	1.085	0.433	13.281	19.254	True		
133	-5.873	 106	1 116.904	236.142	1 003	1.085	0.380	13.335	19.208	True		
133_1	-5.866	 104	1 155.205	408.326	 999	1.085	0.604	13.381	19.247	True		
133_3	-5.896	 106	1 017.858	700.816	 998	1.086	1.489	13.336	19.232	True		
134	-5.761	 104	677.846	362.463	 996	1.086	0.428	13.462	19.223	True		
134_1	-5.813	 102	1 116.720	532.136	 998	1.085	1.487	13.440	19.253	True		
134_3	-5.798	 95	708.773	572.934	 996	1.086	1.526	13.447	19.245	True		
135	-5.734	 97	968.376	255.207	 996	1.085	1.519	13.523	19.257	True		
135_1	-5.723	 92	1 169.242	301.378	1 000	1.085	0.600	13.517	19.240	True		
135_2	-5.670	 83	687.286	309.590	 998	1.086	1.149	13.563	19.233	True		
135_3	-5.688	 94	1 170.584	339.049	 999	1.085	1.557	13.584	19.272	True		
135_4	-5.687	 90	695.726	547.838	 998	1.086	0.816	13.542	19.229	True		
135_6	-5.637	 87	694.062	831.280	 998	1.087	0.465	13.582	19.219	True		
136_1	-5.608	 79	785.296	477.184	 998	1.086	0.745	13.621	19.229	True		
136_3	-5.588	 77	676.223	779.629	 996	1.087	1.367	13.683	19.271	True		
137_2	-5.533	 81	1 004.157	654.357	1 000	1.086	1.383	13.721	19.254	True		
139_1	-5.333	 62	1 126.819	444.757	 994	1.085	0.391	13.949	19.282	True		
140	-5.099	 55	849.675	489.165	1 002	1.086	0.417	14.083	19.182	True		
141_1	-5.004	 49	1 095.490	498.743	1 001	1.085	1.282	14.191	19.195	True		
141_2	-5.126	 53	932.191	689.585	 998	1.086	0.806	14.136	19.262	True		
142_1	-5.023	 46	882.924	615.029	 998	1.086	0.526	14.246	19.269	True		
143_2	-4.867	 43	750.103	742.352	 996	1.086	0.716	14.396	19.263	True		
143_3	-4.927	 45	1 063.461	750.687	1 000	1.086	1.439	14.320	19.247	True		
144	-4.796	 43	1 054.566	325.462	 997	1.085	0.729	14.438	19.234	True		
144_1	-4.848	 44	1 136.680	668.442	 999	1.085	0.440	14.418	19.266	True		
144_2	-4.840	 44	1 103.301	787.473	 994	1.086	0.579	14.476	19.316	True		
145_2	-4.715	 40	1 023.207	444.236	 999	1.085	1.213	14.507	19.222	True		
145_4	-4.762	 41	673.378	508.777	 993	1.086	0.470	14.534	19.296	True		
145_6	-4.694	 36	929.673	557.877	 999	1.086	0.479	14.525	19.219	True		
145_7	-4.752	 40	743.972	642.378	 995	1.086	0.552	14.514	19.266	True		
146_5	-4.606	 33	714.187	686.999	 995	1.086	1.324	14.645	19.251	True		
148_2	-4.435	 31	1 122.932	614.664	1 000	1.085	0.831	14.824	19.259	True		
148_3	-4.422	 31	906.821	753.179	 999	1.086	0.498	14.854	19.276	True		
