Primary target: NGC 7790
Exposure time: 120 s
Filter: BLUE
Observation date/time: 2015-09-01 08:09:33
JD: 2457266.83997
Decimal date: 2015-09-01.33997
R.A.: 23:58:29.25
Dec.: 61:13:09.27
Airmass: 1.0843
Calibration: BDF
Apeture radius: 5 pixels
File name: 635772429203910000.fts




Star	IM	SNR	X	Y	Sky	Air	B-V	BLUE-mag	Target estimate	Active		
112	-7.250	 374	237.680	813.087	 695	1.083	0.739	0.000	7.250	True		
117	-7.188	 368	1 106.688	766.448	 695	1.085	0.216	0.000	7.188	True		
117_1	-6.270	 187	495.638	300.354	 699	1.083	1.416	0.000	6.270	True		
119	-6.701	 258	405.557	894.213	 695	1.083	0.419	0.000	6.701	True		
121	-6.542	 230	682.337	582.868	 693	1.084	0.405	0.000	6.542	True		
124	-6.008	 152	503.756	671.442	 695	1.083	0.689	0.000	6.008	True		
124_1	-6.091	 167	673.805	680.239	 693	1.084	0.537	0.000	6.091	True		
125_1	-5.229	 82	602.353	217.568	 694	1.083	1.742	0.000	5.229	True		
126	-6.035	 164	628.628	605.510	 695	1.083	0.446	0.000	6.035	True		
127	-5.217	 79	608.019	732.492	 696	1.084	1.351	0.000	5.217	True		
127_1	-5.904	 138	724.909	547.164	 693	1.084	0.388	0.000	5.904	True		
127_2	-5.843	 135	471.680	332.666	 698	1.083	0.455	0.000	5.843	True		
128	-5.552	 104	565.186	223.114	 700	1.083	0.806	0.000	5.552	True		
129	-5.141	 78	980.995	372.920	 693	1.084	1.301	0.000	5.141	True		
130	-5.389	 94	608.642	758.445	 694	1.084	0.663	0.000	5.389	True		
131	-5.429	 95	735.541	385.801	 694	1.084	0.495	0.000	5.429	True		
131_1	-5.341	 91	587.570	102.150	 696	1.083	0.785	0.000	5.341	True		
131_2	-5.007	 69	671.628	609.910	 693	1.084	1.223	0.000	5.007	True		
131_3	-5.520	 103	431.550	519.983	 697	1.083	0.401	0.000	5.520	True		
131_6	-4.718	 52	654.848	353.453	 697	1.083	1.503	0.000	4.718	True		
132_2	-5.198	 76	791.516	502.772	 696	1.084	0.692	0.000	5.198	True		
132_3	-5.414	 95	452.952	456.599	 691	1.083	0.433	0.000	5.414	True		
133	-5.320	 89	487.234	790.944	 693	1.083	0.380	0.000	5.320	True		
133_1	-5.153	 77	449.779	618.849	 693	1.083	0.604	0.000	5.153	True		
133_3	-4.638	 51	588.364	327.443	 693	1.083	1.489	0.000	4.638	True		
134	-5.218	 79	925.992	666.948	 689	1.084	0.428	0.000	5.218	True		
134_1	-4.471	 43	488.746	495.628	 694	1.083	1.487	0.000	4.471	True		
135	-4.419	 42	635.426	772.666	 691	1.084	1.519	0.000	4.419	True		
135_1	-4.995	 66	435.176	725.603	 695	1.083	0.600	0.000	4.995	True		
135_2	-4.682	 51	916.223	719.601	 691	1.084	1.149	0.000	4.682	True		
135_3	-4.364	 38	434.195	687.910	 693	1.083	1.557	0.000	4.364	True		
135_4	-4.870	 60	909.059	482.476	 691	1.084	0.816	0.000	4.870	True		
135_6	-5.067	 70	912.029	198.899	 694	1.084	0.465	0.000	5.067	True		
136_1	-4.821	 57	819.165	551.981	 692	1.084	0.745	0.000	4.821	True		
136_3	-4.313	 37	929.786	250.817	 694	1.084	1.367	0.000	4.313	True		
137_1	-4.860	 58	749.530	563.730	 696	1.084	0.453	0.000	4.860	True		
137_2	-4.308	 37	601.898	374.251	 695	1.083	1.383	0.000	4.308	True		
139_1	-4.732	 52	478.116	582.788	 692	1.083	0.391	0.000	4.732	True		
140	-4.597	 48	755.000	539.888	 694	1.084	0.417	0.000	4.597	True		
141_2	-4.265	 35	673.724	339.071	 694	1.083	0.806	0.000	4.265	True		
142_1	-4.286	 36	722.894	414.026	 695	1.084	0.526	0.000	4.286	True		
143_2	-4.077	 31	855.660	287.502	 693	1.084	0.716	0.000	4.077	True		
144_1	-4.223	 34	469.806	359.354	 693	1.083	0.440	0.000	4.223	True		
145_4	-4.110	 31	931.323	520.906	 692	1.084	0.470	0.000	4.110	True		
145_7	-4.136	 33	861.679	387.147	 690	1.084	0.552	0.000	4.136	True		
