Primary target: NGC 7790
Exposure time: 120 s
Filter: R
Observation date/time: 2015-09-01 07:55:53
JD: 2457266.83047
Decimal date: 2015-09-01.33047
R.A.: 23:58:29.60
Dec.: 61:13:07.36
Airmass: 1.0820
Calibration: BDF
Apeture radius: 6 pixels
File name: 635772429338320000.fts




Star	IM	SNR	X	Y	Sky	Air	B-V	R-mag	Target estimate	Active		
117	-8.048	 482	1 108.659	768.965	1 413	1.082	0.216	11.555	19.603	True		
117_1	-8.549	 679	497.305	302.397	1 423	1.081	1.416	10.950	19.499	True		
119	-7.882	 446	406.880	896.824	1 418	1.081	0.419	11.667	19.549	True		
121	-7.692	 372	683.890	585.356	1 420	1.081	0.405	11.847	19.539	True		
124	-7.501	 333	505.393	673.805	1 416	1.081	0.689	12.031	19.532	True		
125_1	-7.850	 444	603.830	219.503	1 422	1.081	1.742	11.651	19.501	True		
126	-7.197	 261	630.497	608.294	1 418	1.081	0.446	12.363	19.560	True		
127_2	-7.038	 233	473.413	334.764	1 419	1.081	0.455	12.497	19.535	True		
128	-7.198	 266	566.754	225.315	1 421	1.081	0.806	12.323	19.521	True		
129	-7.321	 293	982.970	375.400	1 416	1.082	1.301	12.217	19.538	True		
130	-6.817	 189	610.354	760.836	1 424	1.081	0.663	12.702	19.519	True		
131	-6.630	 167	737.378	387.933	1 422	1.081	0.495	12.892	19.522	True		
131_1	-6.933	 222	589.346	104.054	1 418	1.081	0.785	12.595	19.528	True		
131_2	-7.103	 249	673.280	612.160	1 422	1.081	1.223	12.406	19.509	True		
131_3	-6.670	 165	432.971	522.427	1 416	1.081	0.401	12.890	19.560	True		
131_6	-7.145	 260	656.590	355.534	1 422	1.081	1.503	12.371	19.516	True		
132_2	-6.701	 165	793.384	505.086	1 418	1.081	0.692	12.833	19.534	True		
132_3	-6.483	 147	454.540	458.763	1 422	1.081	0.433	13.041	19.524	True		
133	-6.463	 145	488.598	793.534	1 418	1.081	0.380	13.069	19.532	True		
133_1	-6.527	 162	451.374	621.122	1 417	1.081	0.604	13.018	19.545	True		
133_3	-6.970	 235	590.211	329.584	1 420	1.081	1.489	12.531	19.501	True		
134	-6.303	 137	927.877	669.464	1 415	1.082	0.428	13.224	19.527	True		
134_1	-6.896	 212	490.311	497.778	1 414	1.081	1.487	12.617	19.513	True		
134_3	-6.900	 209	898.148	459.068	1 418	1.082	1.526	12.604	19.504	True		
135	-6.833	 205	637.162	775.075	1 415	1.081	1.519	12.680	19.513	True		
135_1	-6.389	 139	436.707	728.133	1 422	1.081	0.600	13.158	19.547	True		
135_2	-6.638	 161	918.283	722.076	1 418	1.082	1.149	12.877	19.515	True		
135_3	-6.809	 206	435.523	690.482	1 421	1.081	1.557	12.716	19.525	True		
135_4	-6.405	 139	911.309	484.753	1 414	1.082	0.816	13.152	19.557	True		
135_6	-6.195	 123	914.297	200.954	1 417	1.082	0.465	13.317	19.512	True		
136_1	-6.361	 132	820.956	554.443	1 415	1.081	0.745	13.173	19.534	True		
136_3	-6.705	 184	931.694	253.135	1 417	1.082	1.367	12.819	19.524	True		
137_2	-6.584	 170	603.526	376.305	1 415	1.081	1.383	12.945	19.529	True		
139_1	-5.848	 88	479.652	585.297	1 416	1.081	0.391	13.698	19.546	True		
140	-5.702	 72	756.751	542.028	1 420	1.081	0.417	13.822	19.524	True		
141_1	-6.039	 104	511.464	531.025	1 421	1.081	1.282	13.462	19.501	True		
141_2	-5.890	 86	675.626	341.377	1 416	1.081	0.806	13.666	19.556	True		
142	-5.540	 63	980.282	544.877	1 418	1.082	0.511	13.969	19.509	True		
142_1	-5.599	 61	724.686	416.311	1 424	1.081	0.526	13.899	19.498	True		
143_2	-5.625	 70	857.797	289.744	1 413	1.081	0.716	13.961	19.586	True		
143_3	-6.120	 100	544.722	279.818	1 420	1.081	1.439	13.402	19.522	True		
144	-5.493	 70	551.520	704.529	1 417	1.081	0.729	14.005	19.498	True		
144_1	-5.358	 57	471.311	361.520	1 419	1.081	0.440	14.164	19.522	True		
144_2	-5.422	 62	505.359	242.824	1 419	1.081	0.579	14.114	19.536	True		
145_2	-5.694	 78	583.374	585.964	1 415	1.081	1.213	13.820	19.514	True		
145_4	-5.271	 55	933.227	523.381	1 412	1.082	0.470	14.233	19.504	True		
145_6	-5.335	 53	677.169	473.460	1 414	1.081	0.479	14.219	19.554	True		
145_7	-5.391	 62	863.442	389.547	1 413	1.082	0.552	14.196	19.587	True		
146_5	-5.603	 70	893.419	345.093	1 419	1.082	1.324	13.906	19.509	True		
147_3	-5.054	 36	693.634	453.456	1 425	1.081	0.460	14.428	19.482	True		
148_1	-5.093	 43	873.616	452.095	1 415	1.082	0.722	14.451	19.544	True		
148_2	-5.186	 49	484.683	415.209	1 416	1.081	0.831	14.319	19.505	True		
148_3	-4.954	 40	701.419	277.989	1 421	1.081	0.498	14.545	19.499	True		
149_2	-5.438	 63	619.678	502.623	1 418	1.081	1.570	14.079	19.517	True		
149_4	-4.872	 39	449.371	296.113	1 420	1.080	0.544	14.626	19.498	True		
150	-5.039	 43	988.881	714.718	1 413	1.082	0.903	14.540	19.579	True		
150_1	-4.917	 38	926.713	614.017	1 414	1.082	0.747	14.594	19.511	True		
151	-4.888	 37	571.715	737.257	1 414	1.081	0.778	14.678	19.566	True		
151_3	-4.860	 35	937.550	399.208	1 411	1.082	0.862	14.681	19.541	True		
153	-4.979	 41	961.708	699.788	1 411	1.082	1.459	14.521	19.500	True		
153_2	-4.669	 32	890.275	580.035	1 411	1.082	0.825	14.855	19.524	True		
153_3	-4.620	 31	883.321	547.273	1 413	1.082	0.806	14.894	19.514	True		
153_4	-5.069	 43	623.732	420.904	1 423	1.081	1.690	14.409	19.478	True		
153_5	-5.270	 52	625.711	316.452	1 422	1.081	1.930	14.232	19.502	True		
155_2	-4.821	 36	970.428	438.599	1 415	1.082	1.538	14.696	19.517	True		
156_4	-4.733	 33	717.362	250.262	1 415	1.081	1.467	14.782	19.515	True		
158	-4.659	 32	847.024	368.612	1 415	1.081	1.558	14.926	19.585	True		
