Primary target: NGC 7790
Exposure time: 300 s
Filter: B
Observation date/time: 2015-09-01 07:29:54
JD: 2457266.81243
Decimal date: 2015-09-01.31243
R.A.: 23:58:27.17
Dec.: 61:14:43.78
Airmass: 1.0822
Calibration: BDF
Apeture radius: 6 pixels
File name: 635772429147090000.fts




Star	IM	SNR	X	Y	Sky	Air	B-V	B-mag	Target estimate	Active		
117	-6.665	 403	501.260	266.147	1 023	1.082	0.216	11.875	18.540	True		
117_1	-5.529	 183	1 117.753	731.216	1 021	1.080	1.416	13.129	18.658	True		
119	-6.158	 304	1 205.254	133.970	1 018	1.080	0.419	12.363	18.521	True		
121	-6.006	 261	928.803	448.260	1 025	1.081	0.405	12.522	18.528	True		
124	-5.432	 168	1 107.743	358.361	1 022	1.080	0.689	13.141	18.573	True		
124_1	-5.522	 186	936.731	350.706	1 020	1.081	0.537	13.025	18.547	True		
125_1	-4.331	 65	1 010.971	814.921	1 017	1.081	1.742	14.333	18.664	True		
126	-5.494	 176	982.411	425.329	1 022	1.081	0.446	13.063	18.557	True		
127_2	-5.331	 153	1 141.465	698.792	1 023	1.080	0.455	13.224	18.555	True		
128	-4.971	 112	1 048.267	809.096	1 019	1.081	0.806	13.612	18.583	True		
129	-4.341	 67	629.830	660.948	1 016	1.082	1.301	14.252	18.593	True		
130	-4.792	 95	1 001.770	271.720	1 024	1.081	0.663	13.757	18.549	True		
131	-4.884	 106	876.171	646.740	1 018	1.081	0.495	13.667	18.551	True		
131_1	-4.744	 92	1 026.313	930.860	1 021	1.081	0.785	13.849	18.593	True		
131_2	-4.303	 62	939.162	421.153	1 020	1.081	1.223	14.327	18.630	True		
131_3	-5.002	 118	1 181.032	510.202	1 022	1.080	0.401	13.542	18.544	True		
131_6	-3.940	 47	957.555	678.779	1 022	1.081	1.503	14.698	18.638	True		
132_2	-4.576	 83	819.289	529.285	1 022	1.081	0.692	13.946	18.522	True		
132_3	-4.831	 100	1 159.882	574.050	1 024	1.080	0.433	13.714	18.545	True		
133	-4.782	 97	1 123.914	238.152	1 023	1.080	0.380	13.715	18.497	True		
133_1	-4.568	 84	1 162.134	411.046	1 025	1.080	0.604	13.985	18.553	True		
133_3	-3.870	 42	1 024.182	704.360	1 018	1.081	1.489	14.825	18.695	True		
134	-4.652	 89	683.301	365.121	1 021	1.081	0.428	13.890	18.542	True		
134_1	-3.665	 37	1 123.715	535.056	1 019	1.080	1.487	14.927	18.592	True		
134_3	-3.637	 34	714.864	576.424	1 016	1.081	1.526	14.973	18.610	True		
135	-3.586	 33	974.829	257.687	1 022	1.081	1.519	15.042	18.628	True		
135_1	-4.474	 74	1 176.093	303.866	1 025	1.080	0.600	14.117	18.591	True		
135_2	-3.850	 42	693.034	312.323	1 023	1.081	1.149	14.712	18.562	True		
135_3	-3.516	 31	1 177.638	341.811	1 026	1.080	1.557	15.141	18.657	True		
135_4	-4.181	 56	701.269	550.696	1 022	1.081	0.816	14.358	18.539	True		
135_6	-4.479	 76	699.786	835.240	1 019	1.081	0.465	14.047	18.526	True		
136_1	-4.169	 57	791.488	480.107	1 020	1.081	0.745	14.366	18.535	True		
136_3	-3.633	 34	682.045	783.141	1 014	1.081	1.367	15.050	18.683	True		
137_2	-3.632	 37	1 011.032	657.734	1 020	1.081	1.383	15.104	18.736	True		
139_1	-4.223	 57	1 133.925	447.392	1 021	1.080	0.391	14.340	18.563	True		
140	-3.982	 47	855.841	492.106	1 023	1.081	0.417	14.500	18.482	True		
141_2	-3.608	 34	938.731	693.127	1 021	1.081	0.806	14.942	18.550	True		
142	-3.756	 38	631.685	490.544	1 017	1.082	0.511	14.773	18.529	True		
142_1	-3.725	 36	888.806	618.127	1 021	1.081	0.526	14.772	18.497	True		
144_1	-3.716	 38	1 143.735	671.970	1 022	1.080	0.440	14.858	18.574	True		
144_2	-3.490	 32	1 110.637	791.273	1 018	1.080	0.579	15.055	18.545	True		
145_4	-3.544	 34	679.062	511.940	1 018	1.081	0.470	15.004	18.548	True		
145_7	-3.514	 32	749.952	645.657	1 015	1.081	0.552	15.066	18.580	True		
