Primary target: NGC 7790
Exposure time: 60 s
Filter: R
Observation date/time: 2015-08-25 03:31:26
JD: 2457259.64683
Decimal date: 2015-08-25.14683
R.A.: 23:58:33.54
Dec.: 61:13:13.49
Airmass: 1.4651
Calibration: BDF
Apeture radius: 5 pixels
File name: 635764995800563984.fts




Star	IM	SNR	X	Y	Sky	Air	B-V	R-mag	Target estimate	Active		
110	-8.945	 710	442.536	535.336	 317	1.460	0.457	10.754	19.699	True		
112	-8.919	 697	1 295.596	174.116	 316	1.458	0.739	10.775	19.694	True		
117	-8.170	 465	422.748	224.897	 316	1.458	0.216	11.555	19.725	True		
117_1	-8.699	 626	1 038.712	690.259	 315	1.462	1.416	10.950	19.649	True		
119	-8.022	 434	1 126.444	93.639	 317	1.457	0.419	11.667	19.689	True		
121	-7.827	 372	849.829	407.538	 313	1.460	0.405	11.847	19.674	True		
122	-7.789	 357	454.829	136.643	 312	1.457	0.557	11.904	19.693	True		
124	-7.647	 334	1 028.805	317.738	 314	1.459	0.689	12.031	19.678	True		
124_1	-7.498	 318	857.729	309.933	 313	1.459	0.537	12.175	19.673	True		
125	-7.500	 306	1 080.397	212.745	 314	1.458	0.698	12.183	19.683	True		
125_1	-7.993	 429	931.865	773.999	 313	1.463	1.742	11.651	19.644	True		
126	-7.324	 272	903.627	384.299	 313	1.459	0.446	12.363	19.687	True		
126_1	-7.282	 223	826.121	474.692	 318	1.460	0.378	12.416	19.698	True		
127	-7.605	 332	923.823	256.728	 317	1.458	1.351	12.044	19.649	True		
127_1	-7.171	 232	807.075	443.448	 313	1.460	0.388	12.518	19.689	True		
127_2	-7.174	 248	1 062.419	657.747	 314	1.462	0.455	12.497	19.671	True		
128	-7.335	 280	969.037	767.844	 315	1.463	0.806	12.323	19.658	True		
128_1	-8.117	 400	795.854	347.570	 318	1.459	2.061	11.571	19.688	True		
129	-7.453	 307	550.778	619.582	 314	1.461	1.301	12.217	19.670	True		
130	-6.970	 213	922.829	230.753	 314	1.458	0.663	12.702	19.672	True		
130_1	-6.899	 168	792.482	480.622	 316	1.460	0.391	12.796	19.695	True		
131	-6.765	 188	797.222	605.632	 315	1.461	0.495	12.892	19.657	True		
131_1	-7.062	 243	947.060	889.374	 313	1.464	0.785	12.595	19.657	True		
131_2	-7.246	 258	860.610	380.205	 313	1.459	1.223	12.406	19.652	True		
131_3	-6.795	 188	1 101.798	469.218	 316	1.460	0.401	12.890	19.685	True		
131_4	-6.920	 177	785.354	495.432	 317	1.460	0.378	12.860	19.780	True		
131_5	-6.864	 198	682.150	560.460	 314	1.461	0.540	12.813	19.677	True		
131_6	-7.274	 269	878.529	637.756	 316	1.462	1.503	12.371	19.645	True		
132	-6.734	 178	860.051	354.533	 316	1.459	0.509	12.931	19.665	True		
132_1	-6.747	 138	801.024	399.943	 319	1.460	0.441	12.976	19.723	True		
132_2	-6.834	 183	740.641	488.155	 314	1.460	0.692	12.833	19.667	True		
132_3	-6.619	 173	1 080.751	533.089	 316	1.461	0.433	13.041	19.660	True		
133	-6.579	 164	1 044.859	197.801	 312	1.458	0.380	13.069	19.648	True		
133_1	-6.661	 181	1 083.222	370.065	 314	1.459	0.604	13.018	19.679	True		
133_2	-6.601	 144	811.723	518.060	 318	1.461	0.382	13.065	19.666	True		
133_3	-7.111	 235	945.196	663.478	 315	1.462	1.489	12.531	19.642	True		
134	-6.442	 153	604.549	323.985	 312	1.459	0.428	13.224	19.666	True		
134_1	-7.029	 228	1 044.758	494.178	 315	1.460	1.487	12.617	19.646	True		
134_2	-6.457	 135	827.857	517.841	 314	1.461	0.398	13.229	19.686	True		
134_3	-7.040	 231	635.797	534.793	 316	1.461	1.526	12.604	19.644	True		
135	-6.960	 220	895.978	216.606	 313	1.458	1.519	12.680	19.640	True		
135_1	-6.524	 156	1 097.155	263.211	 312	1.459	0.600	13.158	19.682	True		
135_2	-6.771	 192	614.094	271.134	 314	1.458	1.149	12.877	19.648	True		
135_3	-6.941	 218	1 098.815	300.667	 315	1.459	1.557	12.716	19.657	True		
135_4	-6.522	 161	622.614	509.398	 313	1.460	0.816	13.152	19.674	True		
135_5	-6.474	 152	676.835	570.825	 313	1.461	0.463	13.201	19.675	True		
135_6	-6.368	 142	620.696	793.963	 313	1.463	0.465	13.317	19.685	True		
136	-6.239	 119	686.653	345.140	 315	1.459	0.395	13.435	19.674	True		
136_1	-6.498	 158	712.580	439.047	 315	1.460	0.745	13.173	19.671	True		
136_2	-6.357	 126	809.739	544.931	 315	1.461	0.412	13.396	19.753	True		
136_3	-6.822	 198	602.841	741.751	 314	1.462	1.367	12.819	19.641	True		
137	-6.693	 155	792.005	386.858	 318	1.459	1.487	12.949	19.642	True		
137_1	-6.222	 105	782.729	426.946	 316	1.460	0.453	13.464	19.686	True		
137_2	-6.700	 187	931.752	616.764	 314	1.461	1.383	12.945	19.645	True		
139	-5.983	 94	703.684	338.784	 313	1.459	0.456	13.702	19.685	True		
139_1	-5.981	 104	1 054.737	406.765	 313	1.460	0.391	13.698	19.679	True		
140	-5.851	 89	776.873	450.890	 316	1.460	0.417	13.822	19.673	True		
141	-5.753	 83	559.154	380.642	 314	1.459	0.364	13.912	19.665	True		
141_1	-6.175	 117	1 023.095	460.804	 317	1.460	1.282	13.462	19.637	True		
141_2	-5.991	 100	859.576	652.118	 315	1.462	0.806	13.666	19.657	True		
142	-5.695	 79	552.787	449.011	 316	1.460	0.511	13.969	19.664	True		
142_1	-5.763	 77	809.676	577.026	 316	1.461	0.526	13.899	19.662	True		
143	-5.798	 91	989.840	309.859	 315	1.459	0.966	13.851	19.649	True		
143_1	-5.552	 62	823.090	560.071	 317	1.461	0.425	14.131	19.683	True		
143_2	-5.696	 81	676.905	704.667	 313	1.462	0.716	13.961	19.657	True		
143_3	-6.245	 121	991.070	712.942	 316	1.462	1.439	13.402	19.647	True		
144	-5.676	 83	982.086	287.265	 312	1.459	0.729	14.005	19.681	True		
144_1	-5.508	 74	1 064.568	630.963	 314	1.462	0.440	14.164	19.672	True		
144_2	-5.537	 76	1 031.099	750.051	 314	1.463	0.579	14.114	19.651	True		
145	-6.311	 136	673.069	653.334	 314	1.462	0.610	14.078	20.389	True		
145_1	-5.540	 63	816.660	396.711	 318	1.460	0.777	14.106	19.646	True		
145_2	-5.820	 92	950.791	406.031	 314	1.460	1.213	13.820	19.640	True		
145_3	-5.406	 61	905.891	430.655	 314	1.460	0.442	14.300	19.706	True		
145_4	-5.432	 68	600.526	470.795	 312	1.460	0.470	14.233	19.665	True		
145_5	-5.911	 85	798.792	512.139	 317	1.460	1.496	13.704	19.615	True		
145_6	-5.450	 67	856.995	519.643	 314	1.461	0.479	14.219	19.669	True		
145_7	-5.496	 75	670.802	604.837	 313	1.461	0.552	14.196	19.692	True		
146	-5.477	 67	564.157	405.598	 313	1.459	0.805	14.192	19.669	True		
146_1	-5.813	 75	748.029	407.729	 319	1.460	1.434	13.814	19.627	True		
146_2	-5.340	 58	802.016	410.782	 313	1.460	0.435	14.377	19.717	True		
146_3	-5.600	 73	973.769	429.800	 314	1.460	0.973	14.076	19.676	True		
146_4	-5.406	 51	812.746	499.809	 316	1.460	0.439	14.324	19.730	True		
146_5	-5.723	 81	641.078	649.070	 314	1.462	1.324	13.906	19.629	True		
147	-5.614	 78	733.809	395.713	 315	1.459	1.294	14.018	19.632	True		
147_1	-5.240	 57	990.104	431.955	 314	1.460	0.530	14.438	19.678	True		
147_2	-5.408	 48	818.798	454.211	 316	1.460	0.839	14.226	19.634	True		
147_3	-5.284	 55	840.911	539.678	 313	1.461	0.460	14.428	19.712	True		
147_4	-5.802	 85	736.592	767.795	 315	1.463	1.626	13.849	19.651	True		
148	-5.290	 51	700.311	346.652	 316	1.459	0.707	14.397	19.687	True		
148_1	-5.225	 56	660.135	541.779	 315	1.461	0.722	14.451	19.676	True		
148_2	-5.369	 63	1 050.820	577.138	 313	1.461	0.831	14.319	19.688	True		
148_3	-5.108	 51	833.861	715.725	 312	1.462	0.498	14.545	19.653	True		
149	-5.115	 51	705.164	297.891	 315	1.459	0.435	14.615	19.730	True		
149_1	-5.114	 52	982.034	311.802	 314	1.459	0.565	14.590	19.704	True		
